Title,Note,URL,Comment
Gaité Lyrique,,https://www.google.com/maps/place/Gait%C3%A9+Lyrique/data=!4m2!3m1!1s0x47e66e1088588271:0x7d95ac3236605c3a,
Conciergerie,,https://www.google.com/maps/place/Conciergerie/data=!4m2!3m1!1s0x47e66e1fd8767d47:0x90ca4b466cb6316a,
Lidl,,https://www.google.com/maps/place/Lidl/data=!4m2!3m1!1s0x47c328636fbee6e7:0x4a744d8eae5195f9,
Musée Rodin,,https://www.google.com/maps/place/Mus%C3%A9e+Rodin/data=!4m2!3m1!1s0x47e6702a1eccdb43:0x6468d82811b67058,
Coulée verte René-Dumont,,https://www.google.com/maps/place/Coul%C3%A9e+verte+Ren%C3%A9-Dumont/data=!4m2!3m1!1s0x47e672017ad8a49f:0x961dede5aeb1ff83,
Jardin des Plantes,,https://www.google.com/maps/place/Jardin+des+Plantes/data=!4m2!3m1!1s0x47e671f0d126ec6b:0xa67a22fb91573d4e,
Le Jardin du Luxembourg,,https://www.google.com/maps/place/Le+Jardin+du+Luxembourg/data=!4m2!3m1!1s0x47e671db36de687b:0x791dd61b089f98b,
Grande Mosquée de Paris,,https://www.google.com/maps/place/Grande+Mosqu%C3%A9e+de+Paris/data=!4m2!3m1!1s0x47e671f1df8cdb07:0x11888bd44db86ccb,
Magnà Street Food,,https://www.google.com/maps/place/Magn%C3%A0+Street+Food/data=!4m2!3m1!1s0x47e66f6149e89cf1:0xd37352b4f2f044b5,
Maison Sauvage,,https://www.google.com/maps/place/Maison+Sauvage/data=!4m2!3m1!1s0x47e671d928ff58c9:0xd47677d0c6cc576c,
