Channel ID,Channel URL,Channel title
UC-EnprmCZ3OXyAoG7vjVNCA,http://www.youtube.com/channel/UC-EnprmCZ3OXyAoG7vjVNCA,Stanford
UC-FQUIVQ-bZiefzBiQAa8Fw,http://www.youtube.com/channel/UC-FQUIVQ-bZiefzBiQAa8Fw,BBC Radio 1
UC-hKNOj4P-Y8hR9QEHpZPig,http://www.youtube.com/channel/UC-hKNOj4P-Y8hR9QEHpZPig,Bridgewater Associates
UC00QATOrSH4K2uOljTnnaKw,http://www.youtube.com/channel/UC00QATOrSH4K2uOljTnnaKw,Netflix Data
UC0C-w0YjGpqDXGB8IHb662A,http://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran
UC0h5Au2CfcZ7qPw_JZoP1jw,http://www.youtube.com/channel/UC0h5Au2CfcZ7qPw_JZoP1jw,Darius
UC0hLHeIEaQPtef66IUWynSg,http://www.youtube.com/channel/UC0hLHeIEaQPtef66IUWynSg,La Sueur
UC0p_3hZics48kDzZ9X-AOpg,http://www.youtube.com/channel/UC0p_3hZics48kDzZ9X-AOpg,MedeRecord
UC1VU-FHvhbom5tPSCEB-e4g,http://www.youtube.com/channel/UC1VU-FHvhbom5tPSCEB-e4g,Amazon Prime Video Sport
UC2OmW4hyvgEz1D2v5MhOC0Q,http://www.youtube.com/channel/UC2OmW4hyvgEz1D2v5MhOC0Q,Mistakia
